"","data_source","bibliographicCitation","type","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","taxonomicStatus","acceptedScientificName","scientificNameAuthorship","dayIdentified","monthIdentified","verbatimLatitude","verbatimLongitude","yearIdentified","country"
"96095","gbif","","PhysicalObject","","","US","Botany","NMNH Extant Specimen Records","PRESERVED_SPECIMEN","3475877","213","M. A. Costa, J. Ribeiro, P. A. Assunçao & E. C. Pereira","","1995-04-10 00:00:00","1995","4","10","10 Apr 1995","Solo argiloso, terreno molhado e com muito foliço.","","BR","Amazonas","","","Reserva Florestal Ducke. Manaus-Itacoatiara, km 26. Floresta de Plato.","","","-2.8833","-59.9667",NA,"","Acevedo-Rodríguez, P., (BOT), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",NA,"","Paullinia subcordata Benth. ex Radlk.","Sapindaceae","Paullinia","SPECIES","SYNONYM","Paullinia rugosa Benth. ex Radlk.","Benth. ex Radlk.",NA,NA,NA,NA,NA,NA
"12875","gbif","","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15556","","NY","NY","The New York Botanical Garden Herbarium (NY)","PRESERVED_SPECIMEN","01008702","4080","I. Vélez","","1955-06-07 00:00:00","1955","6","7","07 Jun 1955","","","PR","Loíza","","","","","","18.41768","-65.91433",NA,"","I. Vélez",NA,"","Paullinia pinnata L.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia pinnata L.","L.",NA,NA,NA,NA,NA,NA
"52100","gbif","http://www.tropicos.org/Specimen/2104173","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15859","","MO","MO","Tropicos Specimen Data","PRESERVED_SPECIMEN","2104173","von Wedel 596","H. von Wedel","","1940-09-06 00:00:00","1940","9","6","","","","PA","Bocas del Toro","","","Water Valley, vicinity of Chiriquí Lagoon.","","","9.245","-82.38333",NA,"","Tom Croat",NA,"","Paullinia pterocarpa Triana & Planch.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia pterocarpa Triana & Planch.","Triana & Planch.",NA,NA,NA,NA,NA,NA
"41584","gbif","","","Plantae","Atta","INBio","Plantae","Plantae of Costa Rica (INBio)","PRESERVED_SPECIMEN","4001500","","Juan Francisco Morales Quirós; Michael H. Grayum ; Gregorio Dauphin ; Maria M. Chavarría","","2003-08-27 00:00:00","2003","8","27","","","","CR","Guanacaste","La Cruz","Santa Elena","Islas Murcielago. Isla San Jose.","","","10.85833","-85.91667",NA,"","Morales Quirós, Juan Francisco",NA,"","Serjania schiedeana Schltdl.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania schiedeana Schltdl.","Schltdl.",NA,NA,NA,NA,NA,NA
"123529","gbif","","Collection","","","Cenargen","CEN","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","PRESERVED_SPECIMEN","42860","7002","Lídio Coradin","Frutos com alas brancas.","1984-08-27 00:00:00","1984","8","27","","","","BR","Mt","","BARRA DO BUGRES","Cidade de Barra do Bugres, beira do rio Paraguai.","","",NA,NA,NA,"","B. M. T. Walter","2019-02-01","","Serjania caracasana (Jacq.) Willd.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania caracasana (Jacq.) Willd.","(Jacq.) Willd.",NA,NA,NA,NA,NA,NA
"106541","gbif","","","","","","Botany","Naturalis Biodiversity Center (NL) - Botany","PRESERVED_SPECIMEN","WAG.1384088","Breteler, FJ  4438","Breteler FJ","","1965-01-28 00:00:00","1965","1","28","","","","VE","","","","State of Barinas. Near Barinitas.","","",NA,NA,NA,"","",NA,"","Urvillea ulmacea Kunth","Sapindaceae","Urvillea","SPECIES","ACCEPTED","Urvillea ulmacea Kunth","Kunth",NA,NA,NA,NA,NA,NA
"111710","gbif","","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15556","","NY","NY","The New York Botanical Garden Herbarium (NY)","PRESERVED_SPECIMEN","01159410","8128","W. A. Archer","","1943-01-02 00:00:00","1943","1","2","02 Jan 1943","","","BR","Pará","Belém","","South woods of the I.A.N., Belém","","","-1.438098","-48.44475",NA,"","",NA,"","Cardiospermum grandiflorum Sw.","Sapindaceae","Cardiospermum","SPECIES","ACCEPTED","Cardiospermum grandiflorum Sw.","Sw.",NA,NA,NA,NA,NA,NA
"12950","gbif","","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15556","","NY","NY","The New York Botanical Garden Herbarium (NY)","PRESERVED_SPECIMEN","01139827","12314","W. R. Anderson","","1978-03-28 00:00:00","1978","3","28","28 Mar 1978","","","BR","Rondônia","","","Along Rio dos Pacaás Novos, just above and below the first cachoeira.","","ca. 722 ft","-10.97944","-63.76933",NA,"","T. D. Pennington","1979-01-01","","Paullinia venosa Radlk.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia venosa Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
"15079","gbif","","Collection","","","UNICAMP","UEC","UEC - Herbário da Universidade Estadual de Campinas","PRESERVED_SPECIMEN","59729","362","Tiritan, O; Paiva, M","Liana, flores brancas, com frutos.","1990-12-20 00:00:00","1990","12","20","","","","BR","Mato Grosso do Sul","","Selvíria","Fazenda de Ensino e Pesquisa da UNESP - ""Campus"" de Ilha Solteira.","","",NA,NA,NA,"","Ferrucci, MS","2003-01-01","","Serjania ovalifolia Radlk.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania ovalifolia Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
"94278","gbif","","","","","MPEG","HERBMG","Museu Paraense Emilio Goeldi Herbarium","PRESERVED_SPECIMEN","MG138753","157","Kubitzki","","1979-09-05 00:00:00","1979","9","5","","","","BR","Amazonas","","","Amazonas","","",NA,NA,NA,"","",NA,"","Paullinia caloptera Radlk.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia caloptera Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
"34738","gbif","","Collection","","","Universidade Federal do Ceará","EAC","EAC - Herbário Prisco Bezerra","PRESERVED_SPECIMEN","19106","s.n.","Félix, L.P.","Em cerradão, na margem da estrada, frwquente, trepadeira, flor branca.","1992-09-18 00:00:00","1992","9","18","","","","BR","Ceará","","Crato","Chapada do Araripe, Substrato terrestre.","","",NA,NA,NA,"","",NA,"","Serjania glabrata Kunth","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania glabrata Kunth","Kunth",NA,NA,NA,NA,NA,NA
"55252","gbif","","Collection","","","MBML","MBML-HERBARIO","MBML-Herbario - Herbário Mello Leitão","PRESERVED_SPECIMEN","6315","0","B. Weinberg","","1987-07-05 00:00:00","1987","7","5","","","","BR","Espírito Santo","","Guarapari","Setiba II","","","-20.62694","-40.42639",NA,"","",NA,"","Serjania Mill.","Sapindaceae","Serjania","GENUS","ACCEPTED","Serjania Mill.","Mill.",NA,NA,NA,NA,NA,NA
"93264","gbif","","Collection","","","UEFS","HUEFS","HUEFS - Herbario da Universidade Estadual de Feira de Santana","PRESERVED_SPECIMEN","67574","1350","Araújo, F.S.","Caatinga.","2002-02-27 00:00:00","2002","2","27","","","","BR","Ceará","","Cratéus","Serra das Almas.","","",NA,NA,NA,"","M.S.Ferrucci","2006-12-01","","Cardiospermum corindum var. corindum","Sapindaceae","Cardiospermum","VARIETY","ACCEPTED","Cardiospermum corindum var. corindum","",NA,NA,NA,NA,NA,NA
"2270","gbif","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4871653","PhysicalObject","","","ESA","ESA","ESA herbarium - Universidade de São Paulo - Herbário Virtual REFLORA","PRESERVED_SPECIMEN","ESA131907","9003","Queiroz, L.P. et al.;","","2004-02-06 00:00:00","2004","2","6","6/2/2004","","","BR","Bahia","","Tucano","","","",NA,NA,NA,"","Queiroz, L.P. & Cardoso, D.",NA,"","Urvillea laevis Radlk.","Sapindaceae","Urvillea","SPECIES","ACCEPTED","Urvillea laevis Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
"55677","gbif","","","","","M","BSMvplantscoll","The Vascular Plant Collection at the Botanische Staatssammlung München","PRESERVED_SPECIMEN","M-0212527 / 625911 / 283563","","Palmer, E. (no. 795)","","1890-01-01 00:00:00","1890",NA,NA,"","","","MX","","","","Agiabampo","","",NA,NA,NA,"ISOTYPE","",NA,"","Serjania rutaefolia Radlk.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania rutaefolia Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
"83216","gbif","","","","","","Botany","Naturalis Biodiversity Center (NL) - Botany","PRESERVED_SPECIMEN","U.1598464","Woolston, AL  1270","Woolston AL","","1953-01-01 00:00:00","1953","1","1","","","","PY","","","","Depto. San Pedro, Alto Paraguay: Primavera, No field notes (cf. 1110.).","","",NA,NA,NA,"","",NA,"","Serjania lethalis A.St.-Hil.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania lethalis A.St.-Hil.","A.St.-Hil.",NA,NA,NA,NA,NA,NA
"55678","gbif","","","","","M","BSMvplantscoll","The Vascular Plant Collection at the Botanische Staatssammlung München","PRESERVED_SPECIMEN","M-0215030 / 636138 / 293147","","Schimper, G.W. (no. 814)","","1836-02-12 00:00:00","1836","2","12","","","","SA","","","","In palmetis vallis Fatme prope Meccam.","","",NA,NA,NA,"TYPE","",NA,"","Cardiospermum halicacabum L.","Sapindaceae","Cardiospermum","SPECIES","ACCEPTED","Cardiospermum halicacabum L.","L.",NA,NA,NA,NA,NA,NA
"15235","gbif","","Collection","","","UNICAMP","UEC","UEC - Herbário da Universidade Estadual de Campinas","PRESERVED_SPECIMEN","14513","2308","Davis, PH; Gibbs, PE; Kinoshita, LS; Semir, J; Andrade, JB","beira de mata ciliar, trepadeira, frutos.","1976-07-27 00:00:00","1976","7","27","","","","BR","Minas Gerais","","Buenópolis","Serra do Cabral","","",NA,NA,NA,"","Somner, GV","1991-03-04","","Serjania purpurascens Radlk.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania purpurascens Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
"11245","gbif","","","","","SI","HERB","Instituto de Botánica Darwinion","PRESERVED_SPECIMEN","212208","","Belgrano, M. J.","",NA,NA,NA,NA,"","","","AR","Misiones","San Pedro","","Reserva de Biósfera Yabotí, Parque Provincial Esmeralda, alrededores de la Estación Biológica","","","-26.89","-53.88",NA,"","Belgrano, M. J.",NA,"","Paullinia elegans Cambess.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia elegans Cambess.","Cambess.",NA,NA,NA,NA,NA,NA
"90262","gbif","","Collection","","","Universidade Regional de Blumenau","FURB","FURB - Herbário Dr. Roberto Miguel Klein","PRESERVED_SPECIMEN","46766","8596","Silva, J.M.","","2014-08-12 00:00:00","2014","8","12","","","","BR","Paraná","","Guaratuba","Próximo a Baia de Guaratuba.","","","-25.89833","-48.72056",NA,"","Barbosa, E","2014-08-25","","Paullinia seminuda Radlk.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia seminuda Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
"40589","gbif","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=3701793","PhysicalObject","","","US","US","US herbarium - Smithsonian Institute - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA","PRESERVED_SPECIMEN","US00712291","","G. Hatschbach, M. M. Hatschbach;V. Nicolack","","1989-04-12 00:00:00","1989","4","12","4/12/1989","","52756 Orla mata pluvial. Fruiting","BR","Parana","","","Mun. Guaratuba","","",NA,NA,NA,"","Ferrucci, M. S.",NA,"","Serjania meridionalis Cambess.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania meridionalis Cambess.","Cambess.",NA,NA,NA,NA,NA,NA
"54617","gbif","","PhysicalObject","","","US","Botany","NMNH Extant Specimen Records","PRESERVED_SPECIMEN","","14961","P. Acevedo-Rodriguez, C. E. de Oliveiras & H. Medeiro","","2009-02-19 00:00:00","2009","2","19","19 Feb 2009","","","BR","Acre","","","Acre; Rio Branco, Parque Chico Mendes","","","-10.0354","-67.7905",NA,"","",NA,"","Paullinia connaracea Triana & Planch.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia connaracea Triana & Planch.","Triana & Planch.",NA,NA,NA,NA,NA,NA
"42151","gbif","","","Plantae","Atta","INBio","Plantae","Plantae of Costa Rica (INBio)","PRESERVED_SPECIMEN","1517010","","Karsten Thomsen","","1993-06-17 00:00:00","1993","6","17","","","","CR","Puntarenas","Osa","Sierpe","Q. Aguabuena, Est. Boscosa, Pen. de Osa","","","8.711633","-83.52127",NA,"","Morales Quirós, Juan Francisco",NA,"","Paullinia fraxinifolia Triana & Planch.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia fraxinifolia Triana & Planch.","Triana & Planch.",NA,NA,NA,NA,NA,NA
"86474","gbif","","","","","MNHN","P","The vascular plants collection (P) at the Herbarium of the Muséum national d'Histoire Naturelle (MNHN - Paris)","PRESERVED_SPECIMEN","P05241788","","","",NA,NA,NA,NA,"","","","","","","","","","",NA,NA,NA,"","",NA,"","Paullinia pinnata L.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia pinnata L.","L.",NA,NA,NA,NA,NA,NA
"111863","gbif","","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15556","","NY","NY","The New York Botanical Garden Herbarium (NY)","PRESERVED_SPECIMEN","1308140","32440","T. A. Zanoni","","1984-11-27 00:00:00","1984","11","27","27 Nov 1984","","","DO","Dajabón","","","Cordillera Central (base): sobre Cerro Chacuey (entrada por el suroeste en El Pomo).","","1312-2625 ft","19.45","-71.58",NA,"","",NA,"","Serjania diversifolia (Jacq.) Radlk.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania diversifolia (Jacq.) Radlk.","(Jacq.) Radlk.",NA,NA,NA,NA,NA,NA
"44293","gbif","Sánchez-Escalante J. y L. Armenta. 2004. Actualización de la base de datos del Herbario de la Universidad de Sonora (USON). Herbario USON. Universidad de Sonora. Bases de datos SNIB-CONABIO, proyectos V051 y B047. México, D. F.","Event","540","26789552628af02cddf4ba725099c4d7","DICTUS-USON","USON","Actualización de la base de datos del Herbario de la Universidad de Sonora (USON)","PRESERVED_SPECIMEN","05069","","T.R. Van Devender; D.A. Yetman; R. López; V. Tajia","","1996-09-28 00:00:00","1996","9","28","","On top of steep volcanic hill.","","MX","Sonora","NAVOJOA","","Ca. 2 km north of Teachive, southwest end of Cerro Terucuchi.","","","26.80167","-109.24",NA,"","NO DISPONIBLE",NA,"","Paullinia sonorensis S.Watson","Sapindaceae","Serjania","SPECIES","SYNONYM","Serjania sonorensis (S.Watson) Ferrucci & V.W.Steinm.","S.Watson",NA,NA,NA,NA,NA,NA
"24184","gbif","","Collection","","","Instituto de Botânica","SP","SP - Herbário do Estado ""Maria Eneyda P. Kaufmann Fidalgo"" - Coleção de Fanerógamas","PRESERVED_SPECIMEN","151226","74","Makino, H","","1977-07-18 00:00:00","1977","7","18","","","","BR","São Paulo","","São Paulo","Parque Estadual das Fontes do Ipiranga, Reserva Biológica.","","",NA,NA,NA,"","Acevedo de Vargas, R",NA,"","Serjania communis var. glabra Radlk.","Sapindaceae","Serjania","VARIETY","ACCEPTED","Serjania communis var. glabra Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
"32583","gbif","","Collection","","","UEM","HUEM","HUEM - Herbário da Universidade Estadual de Maringá","PRESERVED_SPECIMEN","31700","308","Obando, S; Urdampilleta, JD; Costa, IR","Liana.","2005-09-15 00:00:00","2005","9","15","","","","BR","Paraná","","","Rodovia Jaguariaíva - Sengés, Ponte sobre o Rio In","","","-24.20028","-49.62806",NA,"","Rosado","2017-05-01","","Serjania multiflora Cambess.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania multiflora Cambess.","Cambess.",NA,NA,NA,NA,NA,NA
"5931","gbif","http://www.tropicos.org/Specimen/3012241","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15859","","MO","MO","Tropicos Specimen Data","PRESERVED_SPECIMEN","3012241","Harling 7491","Gunnar Wilhelm Harling|G.T. Storm|Bertil Ström","","1968-01-01 00:00:00","1968",NA,NA,"","","","EC","Napo","","","Nuevo Rocafuerte, Río Yasuní.","","","-0.9333","-75.4",NA,"","R.L. Liesner","1981-01-01","","Paullinia spicata Benth.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia spicata Benth.","Benth.",NA,NA,NA,NA,NA,NA
"109281","gbif","","Collection","","834c9918-f762-11e1-a439-00145eb45e9a","MA","MA","CSIC-Real Jardín Botánico-Colección de Plantas Vasculares (MA)","PRESERVED_SPECIMEN","MA-01-00822851","","Mutis","",NA,NA,NA,NA,"1783-1808","","","CO","","","","[Sin datos de localidad]","","",NA,NA,NA,"","",NA,"","Paullinia fuscescens Kunth","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia fuscescens Kunth","Kunth",NA,NA,NA,NA,NA,NA
"45106","gbif","","Collection","","","UFOP","OUPR","OUPR - Herbário ""Professor José Badini""","PRESERVED_SPECIMEN","27182","817","Cândido, E.S.; Antônio-Silva, L. & Salles, D.","Trepadeira, frutos avermelhados. Floresta Nacional Semidecidual.","2013-02-04 00:00:00","2013","2","4","","","","BR","Minas Gerais","","Confins","Proximidades do Condomínio Aldeia do Engenho.","","","-19.65636","-43.97047",NA,"","",NA,"","Serjania Mill.","Sapindaceae","Serjania","GENUS","ACCEPTED","Serjania Mill.","Mill.",NA,NA,NA,NA,NA,NA
"69325","gbif","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=2675324","PhysicalObject","","","CEPEC","CEPEC","CEPEC herbarium - Centro de Pesquisas do Cacau - Herbário Virtual REFLORA","PRESERVED_SPECIMEN","CEPEC00066801","572","J. A. Kallunki;","Mata disturbada.","1994-02-18 00:00:00","1994","2","18","18/2/1994","","Trepadeira. Látex branco  Flores e botões Frutos","BR","Bahia","","ITAMARAJÚ","A N cidade. Faz. Nova Pau-brasil a dir. a W Rod., 4Km ao N junção com a BR-101.","","",NA,NA,NA,"","M. S. Ferrucci",NA,"","Paullinia rubiginosa Cambess.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia rubiginosa Cambess.","Cambess.",NA,NA,NA,NA,NA,NA
"76740","gbif","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4765355","PhysicalObject","","","NY","NY","NY herbarium - The New York Botanical Garden - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA","PRESERVED_SPECIMEN","NY00887079","418","G. V. Somner;","","1984-01-19 00:00:00","1984","1","19","1984-01-19","","","BR","Rio de Janeiro","","","Restinga de Cabiúnas.","","","-22.37083","-41.78667",NA,"","G. V. Somner; G. M. Barroso","1984-01-01","","Paullinia weinmanniaefolia Mart.","Sapindaceae","Paullinia","SPECIES","SYNONYM","Paullinia weinmanniifolia Mart.","Mart.",NA,NA,NA,NA,NA,NA
"77470","gbif","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4761852","PhysicalObject","","","NY","NY","NY herbarium - The New York Botanical Garden - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA","PRESERVED_SPECIMEN","NY00822330","2258","J. G. Jardim;","","1999-10-28 00:00:00","1999","10","28","1999-10-28","","","BR","Bahia","","","Área do CEPEC (Centro de Pesquisas do Cacau), Km 22 da Rod. Ilhéus/Itabuna (BA 415).","","","-14.75778","-39.22",NA,"","P. Acevedo-Rodríguez","2005-01-01","","Paullinia revoluta Radlk.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia revoluta Radlk.","Radlk.",NA,NA,NA,NA,NA,NA
"44282","gbif","Sánchez-Escalante J. y L. Armenta. 2004. Actualización de la base de datos del Herbario de la Universidad de Sonora (USON). Herbario USON. Universidad de Sonora. Bases de datos SNIB-CONABIO, proyectos V051 y B047. México, D. F.","Event","540","9bdb3d49d0ccdf47a6e899f8bab283c6","DICTUS-USON","USON","Actualización de la base de datos del Herbario de la Universidad de Sonora (USON)","PRESERVED_SPECIMEN","00211","","G. Mayoral; A. Mercado; N. Bañuelos; R. López","","1983-08-05 00:00:00","1983","8","5","","","","MX","Sonora","HERMOSILLO","","Carr. Hermosillo-San Miguel de Horcasitas, El Alamito.","","","29.20694","-110.8683",NA,"","A. Flores",NA,"","Cardiospermum corindum L.","Sapindaceae","Cardiospermum","SPECIES","ACCEPTED","Cardiospermum corindum L.","L.",NA,NA,NA,NA,NA,NA
"8447","gbif","http://www.tropicos.org/Specimen/3611631","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15859","","MO","MO","Tropicos Specimen Data","PRESERVED_SPECIMEN","3611631","Hinton 2671","George B. Hinton","","1932-11-21 00:00:00","1932","11","21","","","","MX","México","Tejupilco","","Tejupilco","","","18.9","-100.15",NA,"","",NA,"","Serjania mexicana (L.) Willd.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania mexicana (L.) Willd.","(L.) Willd.",NA,NA,NA,NA,NA,NA
"89733","gbif","","Collection","","","Fundação Zoobotânica do Rio Grande do Sul","HAS","HAS - Herbário Alarich Rudolf Holger Schultz","PRESERVED_SPECIMEN","95401","8719","Silveira, N.","No mato. Trepadeira com flores e frutos.","1988-05-01 00:00:00","1988","5",NA,"","","","BR","Rio Grande do Sul","","Tentente Portela","Parque Estadual do Turvo","","",NA,NA,NA,"","Ferrucci, M.S.","1994-01-01","","Cardiospermum grandiflorum Sw.","Sapindaceae","Cardiospermum","SPECIES","ACCEPTED","Cardiospermum grandiflorum Sw.","Sw.",NA,NA,NA,NA,NA,NA
"92496","gbif","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4781049","PhysicalObject","","","MAC","MAC","MAC herbarium - Instituto do Meio Ambiente do Estado de Alagoas - Herbário Virtual REFLORA","PRESERVED_SPECIMEN","MAC0008490","2848","R.P.Lyra-Lemos;I.A.Bayma,C.S.S.Barros","","1993-10-11 00:00:00","1993","10","11","11/10/1993","","Trepadeira. Flores cremes.; Caatinga arbustiva-aberta.","BR","Alagoas","","Delmiro Gouveia","Alagoinhas.","","","0","0",NA,"","M.S.Ferrucci","1997-01-01","","Serjania glabrata Kunth","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania glabrata Kunth","Kunth",NA,NA,NA,NA,NA,NA
"86984","gbif","http://www.tropicos.org/Specimen/1926186","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15859","","MO","MO","Tropicos Specimen Data","PRESERVED_SPECIMEN","1926186","Valenzuela Gamarra 1385","Luis Valenzuela G.|Efraín Suclli|Isau Huamantupa|Jim Farfán","","2003-01-25 00:00:00","2003","1","25","","","","PE","Cusco","Calca","","Dist. Quebrada, Bosque Seco intervenido","","","-12.64027","-72.34027",NA,"","",NA,"","Serjania Mill.","Sapindaceae","Serjania","GENUS","ACCEPTED","Serjania Mill.","Mill.",NA,NA,NA,NA,NA,NA
"98138","gbif","http://www.tropicos.org/Specimen/3014064","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15859","","MO","MO","Tropicos Specimen Data","PRESERVED_SPECIMEN","3014064","Robertson 257","Kenneth R. Robertson|Daniel F. Austin","","1967-06-17 00:00:00","1967","6","17","","","","GY","","","","Friendship, ca 11 mi S of George town on rd to Atkinson Field Airpot.","","",NA,NA,NA,"","",NA,"","Paullinia pinnata L.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia pinnata L.","L.",NA,NA,NA,NA,NA,NA
"39682","gbif","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=3702570","PhysicalObject","","","US","US","US herbarium - Smithsonian Institute - Amostras Brasileiras Repatriadas - Herbário Virtual REFLORA","PRESERVED_SPECIMEN","US00758180","7534","M. M. Arbo, J. Jardim, M. S. Ferrucci;S. C. Sant'Ana","","1997-01-20 00:00:00","1997","1","20","1/20/1997","","Trepadora; frutos verdes, margen y venas moradas. Flowering and Fruiting","BR","Bahia","","","Entrada a Andaraa, 7 km al SW de la BR-242.","","","-12.51667","-41.11667",NA,"","Ferrucci, M. S.",NA,"","Cardiospermum oliveirae Ferrucci","Sapindaceae","Urvillea","SPECIES","SYNONYM","Urvillea oliveirae (Ferrucci) Acev.-Rodr. & Ferrucci","Ferrucci",NA,NA,NA,NA,NA,NA
"116561","gbif","","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15670","","E","E","Royal Botanic Garden Edinburgh Herbarium (E)","PRESERVED_SPECIMEN","E00004420","01490","Chagas e Silva, F.","","1992-01-05 00:00:00","1992","1","5","1992-01-05","","","","","","","","","",NA,NA,NA,"","",NA,"","Serjania Mill.","Sapindaceae","Serjania","GENUS","ACCEPTED","Serjania Mill.","Mill.",NA,NA,NA,NA,NA,NA
"10601","gbif","","Collection","","","IPA","IPA","IPA - Herbário - IPA Dárdano de Andrade Lima","PRESERVED_SPECIMEN","85257","-85257","Silva, M.ª.J. da","Material em estudo na UPE -FFFNM sob a orientação da Profa. Socorro.","2010-05-29 00:00:00","2010","5","29","","","","BR","Pernambuco","","Nazaré da Mata","Mata da alcaparra","","",NA,NA,NA,"","Pereira, L.A.","2012-09-28","","Paullinia pinnata L.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia pinnata L.","L.",NA,NA,NA,NA,NA,NA
"4479","gbif","http://www.tropicos.org/Specimen/171336","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15859","","MO","MO","Tropicos Specimen Data","PRESERVED_SPECIMEN","171336","Fernández Casas 3753","F. Javier Fernández Casas|J. Molero","","1980-09-21 00:00:00","1980","9","21","","","","PY","Alto Paraná","","","Puerto Presidente Stroessner, km 12.","","",NA,NA,NA,"","D. Brunner","1989-01-01","","Paullinia meliifolia Juss.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia meliifolia Juss.","Juss.",NA,NA,NA,NA,NA,NA
"31284","gbif","","PhysicalObject","http://biocol.org/urn:lsid:biocol.org:col:15556","","NY","NY","The New York Botanical Garden Herbarium (NY)","PRESERVED_SPECIMEN","00996017","458","T. A. B. Dias","","1993-03-22 00:00:00","1993","3","22","22 Mar 1993","","","BR","Goiás","Caldas Novas","","Fazenda Geraldinho; próximo alternativa 9.1; cerca de 12.7 km do Asfalto a 6.3 km de C. Novas direção Corumba. Mata de Galeria Antropizada - Rio Corumba.","","","-17.83","-48.55",NA,"","",NA,"","Serjania Mill.","Sapindaceae","Serjania","GENUS","ACCEPTED","Serjania Mill.","Mill.",NA,NA,NA,NA,NA,NA
