"","data_source","bibliographicCitation","type","collectionID","datasetID","institutionCode","collectionCode","datasetName","basisOfRecord","catalogNumber","recordNumber","recordedBy","occurrenceRemarks","eventDate","year","month","day","verbatimEventDate","habitat","fieldNotes","countryCode","stateProvince","county","municipality","locality","verbatimLocality","verbatimElevation","decimalLatitude","decimalLongitude","coordinatePrecision","typeStatus","identifiedBy","dateIdentified","identificationRemarks","scientificName","family","genus","taxonRank","taxonomicStatus","acceptedScientificName","scientificNameAuthorship","dayIdentified","monthIdentified","verbatimLatitude","verbatimLongitude","yearIdentified","country"
"83466","gbif","Martínez-Meléndez M., R. Martínez-Camilo R., M. A. Pérez-Farrera y N. Martínez-Meléndez. 2017. Flora y vegetación de la región terrestre prioritaria Tacaná-Boquerón, Chiapas, México. Universidad de Ciencias y Artes de Chiapas. Bases de datos SNIB-CONABIO, proyectos F092, HA005, EC009, Y012 y BC006. Ciudad de México","Event","3758","48cf30f88559c61b0ec249bf0a749eb2","UNICACH","HEM","Flora y vegetación de la región terrestre prioritaria Tacaná-Boquerón, Chiapas, México","PRESERVED_SPECIMEN","HEM 20768","","J.M.M.","NO DISPONIBLE","2006-06-04 00:00:00","2006","6","4","","NO DISPONIBLE","","MX","Chiapas","VILLAFLORES","","En los alrededores del ejido Tierra y Libertad, aproximadamente a 1 km rumbo al cerro Chumpipe","","","16.23528","-93.70475",NA,"","J.M.M.",NA,"","Paullinia tomentosa Jacq.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia tomentosa Jacq.","Jacq.",NA,NA,NA,NA,NA,NA
"27556","gbif","","Physical Object","","","JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB01276649","3078","Oliveira,C.A.L. de","",NA,NA,NA,NA,"","","","BR","Rio de Janeiro","","Rio de Janeiro","","","",NA,NA,NA,"","",NA,"","Serjania Mill.","Sapindaceae","Serjania","GENUS","ACCEPTED","Serjania Mill.","Mill.",NA,NA,NA,NA,NA,NA
"59830","gbif","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4702652","PhysicalObject","","","HCF","HCF","HCF herbarium - Universidade Tecnológica Federal do Paraná - Campus Campo Mourão - Herbário Virtual REFLORA","PRESERVED_SPECIMEN","HCF000000559","4730","M.G. Caxambu et al.;","","2013-08-16 00:00:00","2013","8","16","2013-08-16","","","BR","Minas Gerais","","São José da Barra","","","","-20.71667","-46.22417",NA,"","A. Rosado",NA,"","Serjania lethalis A.St.-Hil.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania lethalis A.St.-Hil.","A.St.-Hil.",NA,NA,NA,NA,NA,NA
"8375","gbif","","","","","MEL","MEL","MEL AVH data","PRESERVED_SPECIMEN","MEL 2249990A","727","Armit, W.E. de M.","",NA,NA,NA,NA,"","","","AU","Queensland","","","Gilbert River.","","",NA,NA,NA,"","Jeanes, J.A.",NA,"","Cardiospermum halicacabum L.","Sapindaceae","Cardiospermum","SPECIES","ACCEPTED","Cardiospermum halicacabum L.","L.",NA,NA,NA,NA,NA,NA
"92793","gbif","Herbário Virtual REFLORA Disponível em: http://herbariovirtualreflora.jbrj.gov.br/reflora/herbarioVirtual/ConsultaPublicoHVUC/ConsultaPublicoHVUC.do?idTestemunho=4777454","PhysicalObject","","","MAC","MAC","MAC herbarium - Instituto do Meio Ambiente do Estado de Alagoas - Herbário Virtual REFLORA","PRESERVED_SPECIMEN","MAC0043995","5499","Chagas-Mota;","","2009-09-12 00:00:00","2009","9","12","12/09/2009","","Trepadeira. Flores cremes. Frutos vermelhos.; Restinga.","BR","Alagoas","","Feliz Deserto","Várzea da Marituba.","","","0","0",NA,"","E.C.O.Chagas",NA,"","Paullinia trigonia Vell.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia trigonia Vell.","Vell.",NA,NA,NA,NA,NA,NA
"42147","gbif","","","Plantae","Atta","INBio","Plantae","Plantae of Costa Rica (INBio)","PRESERVED_SPECIMEN","1518901","","Juan Francisco Morales Quirós","","1997-04-03 00:00:00","1997","4","3","","","","CR","San José","Acosta","Cangrejal","Rio Grande de Candelaria, Quebrada Limonal. Bosques residuales en union con Rio Grande.","","","9.770833","-84.21722",NA,"","Morales Quirós, Juan Francisco",NA,"","Paullinia turbacensis Kunth","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia turbacensis Kunth","Kunth",NA,NA,NA,NA,NA,NA
"115233","gbif","","PhysicalObject","","","US","Botany","NMNH Extant Specimen Records","PRESERVED_SPECIMEN","","19584","P. Nuñez V., S. Baldeon, A. Alonso, J. Santisteban, G. Valencia, K. Anderson, J. Louton, J. Pacaya V. & F. Ramos R.","","1997-03-10 00:00:00","1997","3","10","10 Mar 1997","Upland Forest with Guadua sarcocarpa dominant","","PE","Cusco","La Convención","","Dist. Echarati: San Martin-3 Well Site. (Convención Prov. = La Convención Prov.)","","","-11.7815","-72.8683",NA,"","",NA,"","Paullinia L.","Sapindaceae","Paullinia","GENUS","ACCEPTED","Paullinia L.","L.",NA,NA,NA,NA,NA,NA
"2394","gbif","León-Gómez C. 2001. Manual para la identificación de lianas en el campo. Instituto de Biología. Universidad Nacional Autónoma de México. Bases de datos SNIB-CONABIO, proyecto R167. México, D. F.","Event","46","7d4405545e79f748632c7a0696bf397f","IBUNAM","MEXU","Manual para la identificación de lianas en el campo","PRESERVED_SPECIMEN","699137","","C. León G.; A. Campos V.","","1992-11-11 00:00:00","1992","11","11","","","","MX","Veracruz de ignacio de la llave","SAN ANDRES TUXTLA","","Vigía 4","","","18.59167","-95.08056",NA,"","A. Campos V.",NA,"","Paullinia clavigera Schltdl.","Sapindaceae","Paullinia","SPECIES","ACCEPTED","Paullinia clavigera Schltdl.","Schltdl.",NA,NA,NA,NA,NA,NA
"50116","gbif","","Physical Object","","","JBRJ","RB","RB - Rio de Janeiro Botanical Garden Herbarium Collection","PRESERVED_SPECIMEN","RB00560265","13095","Schwacke","Herbario Schwacke 13095. Suffraticosa cor. alba","1897-09-30 00:00:00","1897","9","30","","","","BR","Santa Catarina","","Santa Catarina","São Francisco.","","",NA,NA,NA,"SYNTYPE","Acevedo, P.","1986-01-01","","Serjania communis Cambess.","Sapindaceae","Serjania","SPECIES","ACCEPTED","Serjania communis Cambess.","Cambess.",NA,NA,NA,NA,NA,NA
"37479","gbif","","","","","","Botany","Naturalis Biodiversity Center (NL) - Botany","PRESERVED_SPECIMEN","L  0469214","Stone, BC  5234","Stone BC","","1965-01-01 00:00:00","1965","1","1","","","","MP","Saipan","","","Mariana Islands, Saipan, Laderan i Agag","","",NA,NA,NA,"","Leenhouts PW",NA,"","Cardiospermum halicacabum L.","Sapindaceae","Cardiospermum","SPECIES","ACCEPTED","Cardiospermum halicacabum L.","L.",NA,NA,NA,NA,NA,NA
